"Unit Name","Description"
"%","percent"
"% of total LSU","percent of total Livestock Units"
"(LCU/1000 kcal)","local currency units per 1000 kilocalories"
"°C","degrees celsius"
"0.1g/An","0.1 grams per animal"
"1000 $","1000 dollars"
"1000 ha","thousand hectares"
"1000 Head","thousand head"
"1000 I$","1000 international dollars"
"1000 Int. $","1000 International dollars"
"1000 No","thousand number"
"1000 persons","1000 persons"
"1000 tonnes","thousand tonnes"
"1000 US$","1000 United States dollars"
"100mg/An","100 milligrams per animal"
"g","grams"
"g/capita/day","grams per capita per day"
"gigagrams","gigagrams"
"ha","hectares"
"Head","head"
"hg","hectogram"
"hg/An","hectograms per animal"
"hg/ha","hectograms per hectare"
"hg/mt","hectograms per metric tonne"
"I$","international dollar"
"I$ per person","international dollars per person"
"index","index"
"kcal/capita/day","kilocalorie per capita per day"
"kg","kilograms"
"kg CO2eq/kg product","kilograms of carbon dioxide equivalents per kilogram of product"
"kg of nutrients","kilograms of nutrients"
"kg/ha","kilograms per hectare"
"kilotonnes","kilotonnes"
"LCU","local currency unit"
"LCU/capita/day","local currency units per person per day"
"LCU/mt","local currency units per metric tonne"
"m3","cubic metres"
"million kcal","million kilocalories"
"million tonnes","million tonnes"
"millions","millions"
"No","number"
"No/An","number per animal"
"Number","Number"
"per 100 square km of land area","per 100 square kilometre of land area"
"persons","persons"
"PPP dollar per person per day","purchasing power parity dollar per person per day"
"SLC","standard local currency"
"Terajoule","Terajoule"
"tonnes","tonnes"
"tonnes per ha","tonnes per hectare"
"tonnes/capita","tonnes of carbon dioxide equivalent per capita"
"US$","United States dollar"
"US$/m3","United States dollars per cubic metre"
"USD","United States dollar"
