"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","ALMONDS","ALMONDS - PRICE RECEIVED, PARITY, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","9.14",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","APPLES, FRESH MARKET - PRICE RECEIVED, PARITY, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","1.51",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","APPLES, PROCESSING - PRICE RECEIVED, PARITY, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","742",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APRICOTS","APRICOTS, FRESH MARKET - PRICE RECEIVED, PARITY, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","4,500",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRICE RECEIVED, PARITY, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","6,660",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CARROTS","CARROTS, FRESH MARKET - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","97.6",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CAULIFLOWER","CAULIFLOWER, FRESH MARKET - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","157",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CELERY","CELERY, FRESH MARKET - PRICE RECEIVED, PARITY, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","76.7",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHERRIES","CHERRIES, SWEET - PRICE RECEIVED, PARITY, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","7,700",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHERRIES","CHERRIES, TART - PRICE RECEIVED, PARITY, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","1.08",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CRANBERRIES","CRANBERRIES - PRICE RECEIVED, PARITY, MEASURED IN $ / BARREL","TOTAL","NOT SPECIFIED","120",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","DATES","DATES - PRICE RECEIVED, PARITY, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","7,920",""
"SURVEY","2022","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","GRAPEFRUIT","GRAPEFRUIT - PRICE RECEIVED, PARITY, MEASURED IN $ / BOX","TOTAL","NOT SPECIFIED","33.7",""
