Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2001","2001","tonnes","157120","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2002","2002","tonnes","170354","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2003","2003","tonnes","186763","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2004","2004","tonnes","207378","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2005","2005","tonnes","122773","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2006","2006","tonnes","156651","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2007","2007","tonnes","206600","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2008","2008","tonnes","165282","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2009","2009","tonnes","155775","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2010","2010","tonnes","191579","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2011","2011","tonnes","147789","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2012","2012","tonnes","183453","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2013","2013","tonnes","198746","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2014","2014","tonnes","207993.82","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2015","2015","tonnes","153310.83","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2016","2016","tonnes","193449.44","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2017","2017","tonnes","165015.37","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2018","2018","tonnes","131009.44","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2019","2019","tonnes","143514.14","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2020","2020","tonnes","107838.24","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01341","Apples","2021","2021","tonnes","115619.52","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2001","2001","1000 US$","117579","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2002","2002","1000 US$","108434","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2003","2003","1000 US$","165218","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2004","2004","1000 US$","215879","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2005","2005","1000 US$","123951","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2006","2006","1000 US$","159796","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2007","2007","1000 US$","210531","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2008","2008","1000 US$","173509","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2009","2009","1000 US$","169661","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2010","2010","1000 US$","212700","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2011","2011","1000 US$","165217","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2012","2012","1000 US$","163608","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2013","2013","1000 US$","262179","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2014","2014","1000 US$","240907","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01341","Apples","2015","2015","1000 US$","243564","A","Official figure"
