"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","ALMONDS","ALMONDS - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.247",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","APPLES, FRESH MARKET - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.045",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","APPLES, PROCESSING - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","20.7",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APRICOTS","APRICOTS, FRESH MARKET - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","124",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APRICOTS","APRICOTS, PROCESSING - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","52.3",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","ASPARAGUS","ASPARAGUS, FRESH MARKET - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","11.8",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","ASPARAGUS","ASPARAGUS, PROCESSING - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","148",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","188",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEANS","BEANS, SNAP, PROCESSING - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","19.9",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BROCCOLI","BROCCOLI, FRESH MARKET - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","4.26",""
